201楼  人在浆糊  02-19 22:20  几乎以上所有牌子都买过感觉森业手感最好。 
200楼  大头哎呦喂  02-04 08:16  都18年了，不再来篇吗，因你的推荐古迪武装突袭都卖断货了 
199楼  鲅鱼饼子  01-23 12:19  请问启蒙的城市警察系列的移动特警总部编号1918怎么样？据说这款产品还得过奖啊，198的价格可以入吗？ 
198楼  绝对要淡定  01-11 00:53  好文，很详细，希望国产积木越来越好 
197楼  不吉利呀  2017-12-28  一七年快过完了，不想写点啥么，不会退出积木界了吧 
196楼  墨翎  2017-12-20  同问，同问，想入手积木给娃玩玩，但乐高还是贵都让我剁不下手 
196楼  很来迟  2017-12-20  去看看惠美 
195楼  DrYANA  2017-11-04  请务必告知野牛moc空天母舰原贴地址… 
194楼  值友9373465734  2017-08-31  哇，太丰富了，楼主写的太细致了，厉害！！ 
193楼  内牛满面大湿  2017-07-22   年薪30万也很有压力的小伙子 
192楼  wu10  2017-06-28  楼主你好 想买这个 乐高迪士尼系列41148艾莎的魔法冰雪城堡 同款（乐高官方旗舰店799元下不了手），请问有什么推荐吗？谢谢 
191楼  Helix（作者）  2017-06-15  乐拼要好一些 
191楼  热血wu  2017-06-15  楼主最近不写佳作了啊，17年期待啊 
190楼  flying1988  2017-06-13  弱弱问下楼主，邦宝咋样 
190楼  yuyu和yuyu  2017-06-13  邦宝得宝都有 邦宝有套小猪佩琦的 因为小孩喜欢所以买了 说实话比较松 我买的是豪华别墅那一套 拼个二层楼 稍微不注意就倒了 把得宝翻出来 明显紧很多 弄好的东西老是倒很败兴趣的…虽然贵一点但还是建议得宝吧 
189楼  lily2023  2017-06-07  买过启蒙的，还不错，就是拼的不牢固。买过乐高得宝也有这个问题 
188楼  克洛洛  2017-05-30  乐高得宝大颗粒仿的最好的是哪家？鸿源盛还是万格？ 
188楼  墨翎  2017-05-30  同问，同问，想入手积木给娃玩玩，但乐高还是贵都让我剁不下手 
187楼  魏魏核子  2017-04-22  启蒙的818飞机 112战舰，113航母都是至少七八年前的设计了 
186楼  flyyzyq  2017-02-20  很好的类乐高积木科普贴，学习了！ 
185楼  摄影君深井冰  2017-02-10  乐拼和得高很多产品都有重叠，尤其科技类、星战题材的。。。想求问下大家推荐哪个？ 目前想玩几个科技set、保时捷911、瓦力、X翼战机等等，求大神解答。。。穷学生买不起乐高，等我人生巅峰年薪30万的时候一定去狠狠地支持乐高 
184楼  值友2278400380  2017-01-17  2015年，歪果仁对世界范围内乐高类积木的评测结果
183楼  值友8702722851  2017-01-15  种草 还得十个字… 
182楼  克洛洛  2017-01-03  乐高得宝大颗粒仿的最好的是哪家？鸿源盛还是万格？ 
181楼  danny_boy  2016-12-17  入了古迪野犬，小巧不占空间好评，掩体也很良心，就是人仔比较阳春，质量也比载具差一点 
180楼  润仔的爹  2016-11-28  入了 古迪 野牛 拼了两天 解毒了  
179楼  白色路标  2016-11-26  好全面的说面，get 
178楼  Irving  2016-09-26  乐拼这两个月疯了，楼主要考虑评测一下么。。。 
178楼  Helix（作者）  2016-09-26  有点跟不上乐拼的节奏了，这一波爆发太猛了 
177楼  Irving  2016-09-25  乐拼这两个月疯了，楼主要考虑评测一下么。。。 
176楼  最强的鸡  2016-09-17  开智的小件不错，什么昆虫海洋之类的买了些，咬合度和设计都可以，给四五岁的小孩玩蛮合适的。。。 
175楼  Helix（作者）  2016-09-11   乐拼的911总体没问题，把玩的时候变速箱别太用力就好 
174楼  fansong07  2016-08-31  以打赏，想入手乐拼那个911GT3，楼主给点建议呗！或者推荐个其他类似的系列，没玩过乐高，打算先买个便宜的感受一下 
173楼  小卷洛杰  2016-08-15  请问 有没有3岁左右的国产积木啊 
173楼  Helix（作者）  2016-08-15  三岁就直接得宝吧 
172楼  小卷洛杰  2016-08-15  请问 有没有3岁左右的国产积木啊 
171楼  jyzgx  2016-08-08  最近拼了个乐拼，还不错嘛 
170楼  wooyang1208  2016-07-28  话说最近体验绝版Lego都靠乐拼。
169楼  莫阿娜  2016-07-22  无脑乐拼就对了。什么古笛星钻全是垃圾 
168楼  guitarbug  2016-07-20  请教各位老司机,火车类的积木哪家强?目前搜到了 小鲁班 有一款..楼猪说的大古迪 好像没有火车系列的呀...呀..星钻也没有呀..呀呀.. 
167楼  烧烤大哥  2016-07-05  楼主，双鹰咋样，出了遥控电动了的，价格也还好，有款拼装吊车，很带感啊！！ 
166楼  樱木滑倒  2016-07-04   楼主，星钻出蓝胖子的街景了，一共4款。 
165楼  蔷薇鱼  2016-07-03  品高跟乐拼比呢 
165楼  Helix（作者）  2016-07-03  乐拼要好一些 
164楼  Helix（作者）  2016-07-03  只能说一般，大人玩玩可以，孩子就算了，比较紧 
164楼  蔷薇鱼  2016-07-03  品高跟乐拼比呢 
163楼  蔷薇鱼  2016-06-26  楼主有接触过品高吗？质量怎么样？求回 
163楼  Helix（作者）  2016-06-26  只能说一般，大人玩玩可以，孩子就算了，比较紧 
162楼  重注大神  2016-06-26  存了八十碎银子捐给楼主，希望继续出作品..对了，古家又出城市一整套了！我想剁手 
162楼  Helix（作者）  2016-06-26  多谢支持，喜欢就剁吧，今年国产品质整体提升，都有不同程度的进步 
